col0,col1,col2
Iwate Prefectural Police,Japan,Iwate Prefecture
Polícia Civil do Estado de Mato Grosso do Sul,Brazil,Mato Grosso do Sul
Polícia Civil do Estado do Rio Grande do Norte,Brazil,Rio Grande do Norte
Polícia Civil do Estado do Espírito Santo,Brazil,Espírito Santo
Polícia Civil do Estado do Acre,Brazil,Acre
Polícia Civil do Estado da Bahia,Brazil,Bahia
Pará State Civil Police,Brazil,Pará
South Australia Police,Australia,South Australia
West Midlands Police,United Kingdom,West Midlands
Police of Andalusia,Spain,Andalusia
Polícia Civil do Estado de São Paulo,Brazil,São Paulo
Guarda Civil do Estado de São Paulo,Brazil,São Paulo
National Crime Squad,United Kingdom,United Kingdom
Swedish Police Authority,Sweden,Sweden
