col0,col1,col2,col3,col4
Rifugio Bogani,Club Alpino Italiano,1905-01-01,Bergamo Alps,Esino Lario
Birgitzköpflhütte,Friends of Nature,1907-01-01,Stubai Alps,Tyrol
Refuge Frédéric Chabod,Club Alpino Italiano,1985-01-01,Gran Paradiso massif,Valsavarenche
Refuge Quintino Sella au Félik,Club Alpino Italiano,1885-01-01,Pennine Alps,Gressoney-La-Trinité
Gnifetti Hut,Club Alpino Italiano,1876-01-01,Pennine Alps,Gressoney-La-Trinité
Refuge Elisabetta Soldini Montanaro,Club Alpino Italiano,1953-01-01,Mont Blanc massif,Courmayeur
Boval Hut,Swiss Alpine Club,1865-01-01,Bernina Range,Graubünden
Refuge du Théodule,Club Alpino Italiano,1920-01-01,Pennine Alps,Aosta Valley
Solvay Hut,Swiss Alpine Club,1915-01-01,Pennine Alps,canton of Valais
Refugi del Pla de la Font,Aigüestortes i Estany de Sant Maurici National Park,2000-01-01,Pyrenees,Alt Àneu
Abbot Pass hut,Parks Canada,1922-01-01,Bow Range,Improvement District No. 09 (Banff National Park)
Torino Hut,Club Alpino Italiano,1952-01-01,Mont Blanc massif,Courmayeur
Margherita Hut,Club Alpino Italiano,1893-08-18,Pennine Alps,Province of Vercelli
Tschierva Hut,Swiss Alpine Club,1899-01-01,Bernina Range,Graubünden
Refuge Aoste,Club Alpino Italiano,1995-01-01,Pennine Alps,Aosta Valley
Monte Rosa Hut,Swiss Alpine Club,2009-01-01,Pennine Alps,canton of Valais
Chanrion Hut,Swiss Alpine Club,1890-01-01,Pennine Alps,canton of Valais
Landsberger Hütte,German Alpine Club,1929-01-01,Allgäu Alps,Tyrol
Refuge Victor-Emmanuel II,Club Alpino Italiano,1884-01-01,Gran Paradiso massif,Valsavarenche
Refuge Victor Sella,Club Alpino Italiano,1884-01-01,Gran Paradiso massif,Cogne
