col0,col1,col2,col3
1990–91 Cypriot Fourth Division (Larnaca-Famagusta Group),Achyronas Liopetriou,1990-1991 one-year-period,1990–91 Cypriot Fourth Division
1988–89 Cypriot Fourth Division (Group D),Apollon Lympion,1988-1989 one-year-period,1988–89 Cypriot Fourth Division
1988–89 Cypriot Fourth Division (Group B),Enosis Neon Ayia Napa,1988-1989 one-year-period,1988–89 Cypriot Fourth Division
1988–89 Cypriot Fourth Division (Group C),APEP Pelendriou,1988-1989 one-year-period,1988–89 Cypriot Fourth Division
1988–89 Cypriot Fourth Division (Group A),AEK Kythreas,1988-1989 one-year-period,1988–89 Cypriot Fourth Division
1988–89 Football League First Division,Arsenal F.C.,1988-1989 one-year-period,1988–89 Football League
1989–90 Cypriot Fourth Division (Nicosia-Keryneia Group),Olimpiada Neapolis FC,1989-1990 one-year-period,1989–90 Cypriot Fourth Division
1989–90 Cypriot Fourth Division (Larnaca-Famagusta Group),APEAN Ayia Napa,1989-1990 one-year-period,1989–90 Cypriot Fourth Division
1989–90 Cypriot Fourth Division (Limassol-Paphos Group),Tsaggaris Peledriou,1989-1990 one-year-period,1989–90 Cypriot Fourth Division
1987–88 Cypriot Fourth Division (Larnaca-Famagusta Group),APEAN Ayia Napa,1987-1988 one-year-period,1987–88 Cypriot Fourth Division
