col0,col1,col2,col3
passage du Ponceau,France,walkway,2.5
passage des Deux-Pavillons,France,walkway,2.2
passage Vendôme,France,walkway,4.0
passage Sainte-Anne,France,walkway,2.85
passage Puteaux,France,walkway,2.8
passage des Panoramas,France,walkway,3.2
passage du Prado,France,walkway,4.0
passage Choiseul,France,walkway,3.9
passage du Caire,France,walkway,2.6
passage Verdeau,France,walkway,3.75
passage Jouffroy,France,walkway,4.0
passage du Grand-Cerf,France,walkway,3.0
passage du Havre,France,walkway,3.65
