col0,col1,col2
Lura IL,"Lura, Norway","Lura, Norway"
AS Săvinești,Săvinești,Săvinești
GOG Håndbold,Gudme,Gudme
G.N.O. Aris Nikaias,Piraeus Regional Unit,Piraeus Regional Unit
Bankeryds SK,Jönköping Municipality,Jönköping Municipality
Huddinge HK,Huddinge Municipality,Huddinge Municipality
AASI Håndbold,Aalborg Municipality,Aalborg Municipality
AHC Potaissa Turda,Turda,Turda
GE Verias,Veroia,Veroia
HC Zlín,Zlín,Zlín
Keravnos Aigiou,West Greece Region,West Greece Region
Molde HK,Molde,Molde
De Studerendes Idræt Odense,Odense Municipality,Odense Municipality
RK Zagorje,Zagorje ob Savi,Zagorje ob Savi
"Daido Steel ""Phenix""",Nagoya,Nagoya
BM Bera Bera,Donostia-San Sebastian,Donostia-San Sebastian
Targos Bevo HC,Peel en Maas,Peel en Maas
Club Deportivo Balonmano Atlético Valladolid,Valladolid,Valladolid
BM Aula,Valladolid,Valladolid
Växjö HF,Växjö Municipality,Växjö
