col0,col1,col2,col3
A2 autoroute,Nord,European route E19 in France,Template:Attached KML/A2 autoroute
A410 autoroute,Haute-Savoie,European route E712,Template:Attached KML/A410 autoroute
A406 autoroute,Ain,European route E62 in France,Template:Attached KML/A406 autoroute
A48 autoroute,Isère,European route E713,Template:Attached KML/A48 autoroute
A46 autoroute,Rhône,European route E15 in France,Template:Attached KML/A46 autoroute
A41 autoroute,Isère,European route E712,Template:Attached KML/A41 autoroute
A40 autoroute,Ain,European route E21,Template:Attached KML/A40 autoroute
A34 autoroute,Ardennes,European route E46 in France,Template:Attached KML/A34 autoroute
A30 autoroute,Moselle,European route E411,Template:Attached KML/A30 autoroute
A27 autoroute,Nord,European route E42 in France,Template:Attached KML/A27 autoroute
