col0,col1,col2,col3,col4,col5
Siero,Gijón,20468,Nora River,UTC+01:00,51667
Villaviciosa,Nava,6222,Cantabrian Sea,UTC+01:00,14439
Llanes,Onís,5687,Cantabrian Sea,UTC+01:00,13568
Villaviciosa,Sariegu,6222,Cantabrian Sea,UTC+01:00,14439
Gijón,Sariegu,122519,Cantabrian Sea,UTC+01:00,271780
Ribadesella,Caravia,2697,Cantabrian Sea,UTC+01:00,5746
Cudillero,Muros de Nalón,4299,Cantabrian Sea,UTC+01:00,4987
Llanes,Ribadedeva,5687,Cantabrian Sea,UTC+01:00,13568
Castrillón,Illas,9611,Cantabrian Sea,UTC+01:00,22376
Castropol,Ribadeo,1322,Cantabrian Sea,UTC+01:00,3402
Cudillero,Pravia,4299,Cantabrian Sea,UTC+01:00,4987
