col0,col1,col2,col3
Oklahoma Department of Libraries,Oklahoma,Oklahoma City,1907-01-01
Delaware Division of Libraries,Delaware,Dover,1956-01-01
Connecticut State Library,Connecticut,Hartford,1854-01-01
Arkansas Department of Heritage,Arkansas,Little Rock,1975-01-01
Arkansas State Library,Arkansas,Little Rock,1979-01-01
Illinois State Library,Illinois,Springfield,1839-01-01
Maryland Office of the Secretary of State,Maryland,Annapolis,1838-01-01
New Hampshire State Library,New Hampshire,Concord,1717-01-25
Utah State Library,Utah,Salt Lake City,1957-01-01
Utah State Historical Society,Utah,Salt Lake City,1897-01-01
