col0,col1,col2
Berkshire Hathaway,552257000000,24414000000
Equa bank,55585000000,372000000
Wüstenrot - stavební spořitelna,35445000000,301000000
Teva Czech Industries,16216200000,911242000
Wildberries,19624590000,428253000
Pražské Vodovody a Kanalizace,4409958000,517759000
BPA sport marketing,236987000,-10792000
EP Cargo,600815000,39784000
Thun 1794,327325000,-14010000
KS-Europe,484918000,81931000
Accolade Holding,1615039000,374054000
Lenhydroproject,1321019000,27970000
TTP invest,1001793000,-29602000
Mini Maritsa Iztok,1160890000,5606000
Budějovická investiční fond s proměnným základním kapitálem,2922701000,143976000
