col0,col1,col2
Polotsk State University,Russia,12000
Moscow State University of Civil Engineering,Russia,20000
Russian National Research Medical University,Russia,9000
Southern Federal University,Russia,33125
Belgorod State University,Russia,23000
Plekhanov Russian Economic University,Russia,16401
Sevastopol National Technical University,Russia,12000
National Research University – Higher School of Economics,Russia,31900
North-Eastern Federal University,Russia,10867
Universidade do Sul de Santa Catarina,Brazil,24529
Universidade do Extremo Sul Catarinense,Brazil,11500
Universidade Federal de Santa Catarina,Brazil,34280
Universidade Estadual Paulista,Brazil,46634
Pontifícia Universidade Católica de São Paulo,Brazil,34000
Qingdao University of Technology,People's Republic of China,16900
Sichuan University,People's Republic of China,70000
Yunnan Normal University,People's Republic of China,33000
Northwest Normal University,People's Republic of China,35900
East China Normal University,People's Republic of China,36026
Solent University,United Kingdom,17455
University of Cumbria,United Kingdom,12410
University of Strathclyde,United Kingdom,25105
University of Central Lancashire,United Kingdom,28850
Liverpool Hope University,United Kingdom,7885
University of Wales Trinity Saint David - Lampeter Campus,United Kingdom,9150
University of Gloucestershire,United Kingdom,8745
University of Wolverhampton,United Kingdom,24020
Webster Vienna Private University,Austria,533
"UMIT - Private University for Health Sciences, Medical Informatics and Technology",Austria,1814
D'Annunzio University of Chieti–Pescara,Italy,30000
University of Urbino,Italy,22000
University of Cagliari,Italy,26069
Selandia - Center for Business Education,Denmark,12000
Lappeenranta-Lahti University of Technology LUT,Finland,5700
Wheeling University,United States of America,1619
University of West Georgia,United States of America,13238
University of Arkansas – Fort Smith,United States of America,7587
Stetson University,United States of America,4330
St. Thomas University,United States of America,4140
Pittsburg State University,United States of America,6907
University of Puerto Rico,United States of America,61967
Northeastern Illinois University,United States of America,12227
University of Phoenix,United States of America,420000
University of Tulsa,United States of America,4187
Troy University,United States of America,29580
Lawrence University,United States of America,1500
Maynooth University,Ireland,12100
Aichi University of Education,Japan,3844
Saint Mary's University,Canada,7281
Wilfrid Laurier University,Canada,19000
