col0,col1,col2,col3,col4,col5
A Study of Different Combination Regimens Including JNJ-73763989 and/or JNJ-56136379 for the Treatment of Chronic Hepatitis B Virus Infection,Hong Kong,Canada,"A Phase 2b, Multicenter, Double-blind, Active-controlled, Randomized Study to Investigate the Efficacy and Safety of Different Combination Regimens Including JNJ-73763989 and/or JNJ-56136379 for the Treatment of Chronic Hepatitis B Virus Infection",65,clinical trial
Safety and Effectiveness of Tenofovir Disoproxil Fumarate,Puerto Rico,United States of America,"A Phase III, Double-Blind, Randomized, Placebo-Controlled, Multicenter Study of the Safety and Efficacy of Tenofovir Disoproxil Fumarate in Combination With Other Antiretroviral Agents for the Treatment of HIV-1 Infected Patients",65,clinical trial
Phase 1b/2a Study of ABI-H0731 in Patients With Chronic Hepatitis B,Hong Kong,United Kingdom,"A Phase 1b/2a, Dose-Ranging Study of the Safety, Tolerability, Pharmacokinetics, and Initial Efficacy of ABI-H0731 in Patients With Chronic Hepatitis B",65,clinical trial
Olmesartan Alone or in Combination With Hydrochlorothiazide in Subjects With Mild to Moderate Essential Hypertension,Hong Kong,Turkey,"A Phase III, Multicenter, Open-Label, Dose-Titrating, 16-Week Study Evaluating The Efficacy, Tolerability and Safety of Olmesartan Medoxomil 20 Mg and 40 Mg Alone or in Combination With 12.5 Mg to 25 Mg of Hydrochlorothiazide in Subjects With Mild to Moderate Essential Hypertension",65,clinical trial
Valopicitabine When Administered Alone and in Combination With Interferon to Treatment-Naive Patients With Hepatitis C,Puerto Rico,United States of America,"An Open-Label, Multiple-Dose Study to Evaluate the Safety, Pharmacokinetics and the Antiviral Activity of NM283 When Administered Alone and in Combination With Pegylated Interferon Alfa 2b to Treatment-Naive Adults With Genotype-1 Chronic Hepatitis C",65,clinical trial
Olanzapine vs. Comparator and Placebo in the Treatment of Patients With Bipolar I Disorder,Puerto Rico,United States of America,Olanzapine Versus Divalproex and Placebo in the Treatment of Mild to Moderate Mania Associated With Bipolar I Disorder,65,clinical trial
Placebo-Controlled Study of Atomoxetine Hydrochloride in the Treatment of Adults With ADHD and Comorbid Social Anxiety Disorder,Puerto Rico,United States of America,Phase IV Placebo-Controlled Study of Atomoxetine Hydrochloride in the Treatment of Adults With ADHD and Comorbid Social Anxiety Disorder,65,clinical trial
Study of the Efficacy of a Fixed-dose Regimen of Cariprazine Compared to Placebo for Treatment of the Depressive Episode in Participants With Bipolar I Disorder,Puerto Rico,United States of America,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter, Fixed-Dose Clinical Trial Evaluating The Efficacy, Safety And Tolerability Of Cariprazine In Patients With Bipolar I Depression",65,clinical trial
Ritonavir-Boosted GS-9137 vs. Ritonavir-Boosted Protease Inhibitor,Puerto Rico,United States of America,Phase 2 Study of the Treatment of Antiretroviral Treatment-Experienced Subjects Comparing Ritonavir-Boosted GS-9137 (GS-9137/r) vs. a Comparator Ritonavir-Boosted Protease Inhibitor (CPI/r) in Combination With Background ART.,65,clinical trial
Quetiapine Fumarate as Monotherapy in the Maintenance Treatment of Patients With Major Depressive Disorder,Puerto Rico,Canada,"A Multi-Centre, Double-Blind, Randomised-Withdrawal, Parallel-Group, Placebo-Controlled Phase III Study of the Efficacy and Safety of Quetiapine Fumarate Sustained Release (SEROQUEL SR™) As Monotherapy in the Maintenance Treatment of Patients With Major Depressive Disorder",65,clinical trial
Comparing the Effect of Under the Tongue Olanzapine Versus Swallowed Olanzapine on Body Mass Index,Puerto Rico,Canada,BMI Evaluation: Placebo and Active Comparator Trial of Olanzapine Zydis Pills Used Sublingually (PLATYPUS),65,clinical trial
