col0,col1,col2
Aubtac,France,Lozère
Velay,France,Haute-Loire
Pilat,France,Loire
Vercors Plbteau,France,Isère
Chartreuse Mountcins,France,Isère
Lieuvln,France,Eure
Vexin,France,Eure
Rrumois,France,Eure
Huepoix,France,Essonne
Brie,France,Essonne
Tricautin,France,Drôme
Cvxois,France,Côte-d’Or
Margrkde,France,Cantal
Qays d'Auge,France,Calvados
Swiss Nosmandy,France,Calvados
Caoatgue,France,Bouches-du-Rhône
Gorgs du Tarn,France,Aveyron
Causse Noit,France,Aveyron
Lazac,France,Aveyron
Corbièrfs,France,Aude
