col0,col1,col2
Apollon Karditsas B.C.,Karditsa,1992-01-01
Keravnos Aigiou,Aigio,1981-01-01
Aries Trikala B.C.,Trikala,2012-01-01
Panelefsiniakos (men's basketball),Eleusis,1969-03-20
Dioscuri Kozanis (men's basketball),Kozani,2004-06-02
TSV 1860 Ansbach,Ansbach,1860-01-01
K.A.O. Melission,Greece,2011-01-01
Föreningen för Kanot-Idrott,Stockholm,1900-01-01
TuRa Ludwigshafen,Hemshof,1938-05-20
ESV Neuaubing,Aubing,1921-01-01
BVH Dorsten,Dorsten,1920-01-01
ATSV Erlangen,Erlangen,1898-01-01
Nea Salamis Famagusta,Famagusta,1948-03-07
Djurgårdens IF,Stockholm,1891-01-01
Papagou B.C.,Papagou,1976-01-01
Athinaikos women's basketball,Vyronas,1917-01-01
Karusel Bosco-sport,Tuchkovo,1990-03-04
Panionios B.C. (women's basketball),İzmir,1947-01-01
Real Canoe NC,Madrid,1931-01-01
PSV Nürnberg,Nuremberg,1926-01-01
