col0,col1,col2,col3,col4
American College of Medical Genetics,Bethesda,medical association,1991-01-01,United States of America
American Academy of Orthopaedic Surgeons,Rosemont,medical association,1933-01-01,United States of America
American Academy of Nursing,"Washington, D.C.",medical association,1973-01-01,United States of America
American Academy of Neurology,Minneapolis,medical association,1948-01-01,United States of America
American Academy of Cosmetic Dentistry,Madison,medical association,1984-01-01,United States of America
"American Academy of Allergy, Asthma, and Immunology",Milwaukee,medical association,1943-01-01,United States of America
Alberta Medical Association,Edmonton,medical association,1906-01-01,Canada
American Roentgen Ray Society,Leesburg,medical association,1900-01-01,United States of America
American College of Gastroenterology,Bethesda,medical association,1932-01-01,United States of America
American College of Rheumatology,Atlanta,medical association,1934-01-01,United States of America
American Physiological Society,Bethesda,medical association,1887-01-01,United States of America
American Society of Clinical Oncology,Alexandria,medical association,1964-01-01,United States of America
