col0,col1,col2,col3
Louvigné communauté,1992-01-01,Ille-et-Vilaine,2016-12-31
Fougères communauté,1966-12-26,Ille-et-Vilaine,2016-12-31
Communauté de communes C.I.A.T.E. du Pays Creuse-Thaurion-Gartempe,1993-01-01,Creuse,2016-12-31
Communauté de communes les Terres d'Yèvre,2002-01-01,Cher,2016-12-31
Communauté de communes en Terres Vives,1994-01-01,Cher,2016-12-31
Communauté de communes du Vimeu Vert,1995-01-01,Somme,2016-12-31
Communauté de communes du Vimeu Industriel,1997-01-01,Somme,2016-12-31
Communauté de communes de Fontainebleau-Avon,2000-12-26,Seine-et-Marne,2016-12-31
Communauté de communes du Bocage Gâtinais,1994-11-17,Seine-et-Marne,2016-12-31
communauté de communes du pays de Bâgé,1997-01-01,Ain,2016-12-31
communauté de communes du canton de Pont-de-Veyle,1998-01-01,Ain,2017-01-01
communauté de communes du canton de Pont-de-Vaux,1994-01-01,Ain,2016-12-31
Communauté de communes du Pays-de-Palluau,2002-01-01,Vendée,2016-12-31
Communauté de communes Plateau de Caux-Fleur de Lin,2001-12-31,Seine-Maritime,2016-12-31
