col0,col1,col2
Freight One,2416000000,98019000000
United Grain Company,2148859000,16215846000
Salavatnefteorgsintez,3400000000,121900000000
Vostochny Bank,3198170000,43362500000
Bashkirenergo,2791000000,62835000000
State Street Corporation,2143000000,10207000000
Alfa Group,2800000000,11900000000
Trelleborg AB,2874000000,31581000000
JetBrains,2277006000,6122060000
Itaúsa,2500000000,4600000000
Transmashholding,2742578000,155806862000
Vinci,2747000000,38073000000
Eurasian Natural Resources Corporation,2197000000,6605000000
Nornickel,2531000000,536753000000
OGK-2,3052589000,134397876000
Nordea,3766000000,9927000000
Cargill,3103000000,144695000000
Plzeňský Prazdroj,2619000000,12193000000
Metrowagonmash,2800552000,43622669000
Rossiya Bank,2400000000,71098900000
Renault Russia,3123129000,126184569000
NBCUniversal,2260000000,28462000000
PIK Group,3154000000,175134000000
