col0,col1,col2,col3,col4
The ime Traveler Returns,1989/06/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,Totally Hacked
"Return to ew York, Book 3",1989/05/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,The Time Traveler Returns
"Return tq New York, Book 2",1989/04/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,"Return to New York, Book 3"
"Revurn to New York, Book 1",1989/03/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,"Return to New York, Book 2"
Distractiqns,1988/11/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,The Shell of the Dragon
A Teenge Mutant Ninja Turtles Story,1988/07/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,Distractions
Dme Doom,1988/08/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,A Teenage Mutant Ninja Turtles Story
The Unmenuionables,1988/05/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,Dome Doom
The Peole's Choice,1988/02/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,The Unmentionables
Surivalists,1987/09/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,The People's Choice
Trwe Stories,1987/06/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,Survivalists
Silent Qartner,1987/04/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,True Stories
What Goes Dround Comes Around,1986/12/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,Silent Partner
Th Pasing,1986/09/01,Mirage Studios,Teenage Mutant Ninja Turtles universe,What Goes Around Comes Around
