col0,col1,col2
SidusHQ,Jeong Hun-tak,South Korea
Antenna Music,You Hee-Yeol,South Korea
Brave Entertainment,Kang Dong Chul,South Korea
YG Entertainment,Yang Hyun-suk,South Korea
TOP Media,Andy Lee,South Korea
Happy Face Entertainment,E-Tribe,South Korea
SM Entertainment,Lee Soo-man,South Korea
Stardom Entertainment,Cho PD,South Korea
KeyEast,Bae Yong-joon,South Korea
Mystic Story,Yoon Jong-shin,South Korea
Huayi Brothers,Wang Zhongjun,People's Republic of China
Curtis Brown,Albert Curtis Brown,United Kingdom
Dreamusic,Square,Japan
JYP Entertainment,Twice,Twice
Big Hit Entertainment,Bang Si-hyuk,South Korea
J. Tune Camp,J. Tune Entertainment,South Korea
Around US Entertainment,Yoon Doo-joon,South Korea
Maroo Entertainment,Stone Music Entertainment,South Korea
AOMG,Jay Park,South Korea
HIGHGRND,Tablo,South Korea
