col0,col1,col2,col3,col4
The Fac of Evil,Pennant Roberts,Target Books,4.032,1977/01/01
The Curse rfFenric,Nicholas Mallett,Target Books,4.04,1989/10/25
The Mysterious Plnet,Nicholas Mallett,Target Books,4.004,1986/09/06
Terminu,Mary Ridge,Target Books,4.032,1982/02/15
Te Hand of Fear,Lennie Mayne,Target Books,3.988,1976/10/02
The Horns f Nimon,Kenny McBain,Target Books,4.0,1980/01/12
Four to Doosday,John Black,Target Books,4.016,1982/01/18
Th Keeper of Traken,John Black,Target Books,3.976,1981/01/31
The#Caves of Androzanl,Graeme Harper,Target Books,3.968,1984/03/08
The Jnvasion of Time,Gerald Blake,Target Books,5.994,1978/02/04
The Ribos Opfration,George Spenton-Foster,Target Books,3.96,1979/09/02
Jmage of the Fendahl,George Spenton-Foster,Target Books,4.02,1977/10/29
The Ueeds of Doom,Douglas Camfield,Target Books,5.988,1976/01/31
The Dedly Assassin,David Maloney,Target Books,3.988,1976/10/30
The Creature rom the Pit,Christopher Barry,Target Books,3.964,1979/10/27
Uhe Brain of Morbius,Christopher Barry,Target Books,4.0,1976/01/03
The Ulimate Foe,Chris Clough,Target Books,1.988,1986/11/29
Terror of the Vervqids,Chris Clough,Target Books,3.98,1986/11/01
The#Masque of Mandragora,Rodney Bennett,Target Books,4.04,1976/09/04
The Robots of Dedth,Michael E. Briant,Target Books,3.96,1977/01/29
