col0,col1,col2
Volley Soverato,volleyball,Soverato
New Mater Volley,volleyball,Castellana Grotte
Imoco Volley,volleyball,Conegliano
CS Sfaxien (volleyball),volleyball,Sfax
Crema Volley,volleyball,Crema
Volleyball Casalmaggiore,volleyball,Casalmaggiore
Bursa B.B. Women's Volleyball,volleyball,Bursa
Gazélec Football Club Ajaccio Volley-Ball,volleyball,Ajaccio
Marconi Volley Spoleto,volleyball,Spoleto
CSM București,volleyball,Bucharest
OK Kamnik,volleyball,Kamnik
VK KP Brno,volleyball,Brno
River Volley Piacenza,volleyball,Piacenza
Sm'Aesch Pfeffingen,volleyball,Basel-Landschaft
Avignon Volley-Ball,volleyball,Avignon
AGIL Volley,volleyball,Novara
Radnički Beograd,volleyball,Belgrade
ŽOK Partizan,volleyball,Belgrade
TED Ankara Kolejliler Volleyball,volleyball,Ankara
Ziraat Bankası Ankara,volleyball,Ankara
