col0,col1,col2
Bucks Fizz,Eurovision Song Contest 1981,RCA
Lovebugs,Eurovision Song Contest 2009,Bertelsmann Music Group
De Toppers,Eurovision Song Contest 2009,EMI
The Style Council,Live Aid,Polydor Records
Black Lace,Eurovision Song Contest 1979,EMI
Magazin,Eurovision Song Contest 1995,Croatia Records
Nox,Eurovision Song Contest 2005,Universal Music Group
Münchener Freiheit,Eurovision Song Contest 1993,Sony Music
Ultravox,Live Aid,Island Records
Belle and the Devotions,Eurovision Song Contest 1984,Columbia Records
INXS,Oz for Africa,Atlantic Records
Compact Disco,Eurovision Song Contest 2012,CLS Music
Simple Minds,Live Aid,Virgin Records
Athena,Eurovision Song Contest 2004,Universal Music Group
De Spelbrekers,Eurovision Song Contest 1962,Decca
Arvingarna,Eurovision Song Contest 1993,Sony Music
Korni Grupa,Eurovision Song Contest 1974,PGP-RTB
Wind,Eurovision Song Contest 1985,PolyGram
Sade,Live Aid,Epic
Four Tops,Live Aid,Columbia Records
