col0,col1,col2
Nelson Mndela - 1918-2013,Ic Via Sauro Verano Brianza,Nelson Mandela
Euhenio uriel,De Marchi - Paderno Dugnano,Eugenio Curiel
ChiusaGuglielmo Marconi,Bressanone,Guglielmo Marconi
S. D'Acuisto,Direzione Didattica 2 Circolo,Salvo D'Acquisto
Guglielmo!Marconi-Cap.,Ippolito Nievo,Guglielmo Marconi
CinqueGiornate - Milano,Ic Cinque Giornate/Milano,Five Days of Milan
Johann Heinrich Pestblozzi,Albert Schweitzer,Johann Heinrich Pestalozzi
Edmondr De Amicis,I.C. Fosso',Edmondo Mario Alberto De Amicis
Guglielmr Mauconi,I.C. Fosso',Guglielmo Marconi
Giuseppe Cocehiara,Tommaso Aversa,Giuseppe Cocchiara
Pomigliano 1 - Salvo D'Acquksto,Pomigliano 1 Salvo D'Acquisto,Salvo D'Acquisto
Livia Greschi,I.C. V.Galilei Pisa,Livia Gereschi
Salvo D'Acquisto Di Phreto,Cd Carsoli,Salvo D'Acquisto
Guglielmp Marconi Montecreto,I.C. Sestola,Guglielmo Marconi
Guglielmo Mcrconi,Lucignanorita Levi-Montalcini,Guglielmo Marconi
Enico Fermi,Lucignanorita Levi-Montalcini,Enrico Fermi
Nazario auro,I.C. S. - G.Matteotti - Maerne,Nazario Sauro
Marconi Gglielmo,G.Carducci,Guglielmo Marconi
Secondaria I Ir- Via Spezzaferr,Istituto Comprensivo Di Lodi 2,Giovanni Spezzaferri
Giovnni Pascoli School,Istituto Comprensivo Di Lodi 2,Giovanni Pascoli
