col0,col1,col2,col3,col4,col5
Spårvägsmuseet,Stockholm Municipality,working life museum,Stockholm,Sweden,1922-01-01
Dundee Museum of Transport,Dundee City,transport museum,Dundee,United Kingdom,2010-01-01
Riverside Museum,Glasgow City,transport museum,Glasgow Harbour,United Kingdom,2011-01-01
Sporveismuseet Vognhall 5,Oslo,transport museum,Majorstuen,Norway,1985-01-01
North Carolina Transportation Museum,North Carolina,transport museum,Southern Railway's Spencer Shops,United States of America,1982-01-01
Myreton Motor Museum,East Lothian,transport museum,Aberlady,United Kingdom,1966-01-01
Motorcyclepedia,New York,transport museum,Newburgh,United States of America,2011-04-16
Minnesota Streetcar Museum,Hennepin County,transport museum,Minneapolis–Saint Paul,United States of America,2005-01-01
John Street Roundhouse,Toronto,transport museum,Old Toronto,Canada,2010-05-01
Harley-Davidson Museum,Wisconsin,transport museum,Milwaukee,United States of America,2008-07-12
Electric City Trolley Museum,Pennsylvania,transport museum,Scranton,United States of America,1999-01-01
Brooklands Museum,Elmbridge,transport museum,Weybridge,United Kingdom,1991-01-01
Moto Guzzi Museum,Mandello del Lario,transport museum,Lake Como,Italy,2012-06-02
