col0,col1,col2
Nodo50,Madrid,Spanish association
Riseup,Seattle,501(c)(4) organisation
Individual Network Berlin,Berlin,registered association
HKBN Limited,Hong Kong,public limited company
BIGLOBE,Shinagawa-ku,kabushiki gaisha
Vodafone Italy,Milan,Naamloze vennootschap
TPG Telecom,North Ryde,public company
Rackspace,San Antonio,public company
Virgin Media Ireland,Dublin,Kommanditgesellschaft auf Aktien
Sky UK Limited,Isleworth,subsidiary
Completel,Tour Ariane,Société par actions simplifiée
OVHcloud,Roubaix,Société par actions simplifiée
Alice ADSL,Paris,Société par actions simplifiée
Free,Paris,Société par actions simplifiée
Elisa,Helsinki,Oy
1&1 Ionos,Montabaur,Societas Europaea
China Telecommunications Corporation,Beijing,state-owned enterprise
Numericable,Champs-sur-Marne,joint-stock company
Wind Tre,Trezzano sul Naviglio,joint-stock company
BT Italia,Milan,joint-stock company
