col0,col1,col2,col3
Taiwan High Court Hualien Branch Court,Hualien City,Taiwan,Hualien County
Taiwan Yilan District Court,Yilan City,Taiwan,Yilan County
Taiwan High Court Kaohsiung Branch Court,Gushan District,Taiwan,Kaohsiung
Taiwan High Court Tainan Branch Court,West Central District,Taiwan,Tainan
Taiwan Changhua District Court,Yuanlin,Taiwan,Changhua County
Taiwan High Court Taichung Branch Court,South District,Taiwan,Miaoli County
Fujian High Court Kinmen Branch Court,Jincheng,Taiwan,Fujian Province
Taiwan Keelung District Court,Xinyi District,Taiwan,Shuangxi District
High Court (Taiwan),Zhongzheng District,Taiwan,Taipei
Supreme Court of the Republic of Slovenia,Ljubljana,Slovenia,Slovenia
Commercial Court of Vienna,Vienna,Austria,Vienna
Employment and social rights law court of Vienna,Vienna,Austria,Vienna
High Court of Justiciary,City of Edinburgh,United Kingdom,Scotland
