col0,col1,col2,col3
Super Evil Megacorp,United States of America,Vainglory,San Mateo
PVP Studio,Romania,Boom Squad,Craiova
Gunjin Games Limited,United Kingdom,Auto Warriors - Tactical Car Combat,Brighton
Spooky Doorway,Ireland,The Darkside Detective,Galway
Blueshift Media,United Kingdom,Linx Battle Arena,Dundee
Dilmer Games,United States of America,Cubiques,South Jordan
Total Monkery,United Kingdom,MagNets,Plymouth
Idea,Italy,Sturmtruppen: The Videogame,Casciago
Butterscotch Shenanigans,United States of America,Crashlands,St. Louis
Mode 7,United Kingdom,Frozen Synapse,Oxford
Vision Games,United Kingdom,Blackwood Crossing,Liverpool
Over The Moon,Canada,The Fall,Vancouver
Imperium42 Game Studio,United States of America,Throne of Lies,Las Vegas
"Game Troopers, SL",Spain,Tiny Troopers,Lleida
