col0,col1,col2,col3
Carmarthenshire Secondary Teaching and Learning Centre,Carmarthenshire,United Kingdom,Welsh-medium school
Ysgol Bro Banw Community Primary School,Carmarthenshire,United Kingdom,Welsh-medium school
Maes Y Morfa Community Primary School,Carmarthenshire,United Kingdom,Welsh-medium school
Danescourt Primary School,City and County of Cardiff,United Kingdom,Welsh-medium school
Brackla Primary School,Bridgend County Borough,United Kingdom,Welsh-medium school
Oldcastle Primary School,Bridgend County Borough,United Kingdom,Welsh-medium school
Pencoed Primary School,Bridgend County Borough,United Kingdom,Welsh-medium school
Llanfoist Fawr Primary School,Monmouthshire,United Kingdom,Welsh-medium school
Severn Primary School,City and County of Cardiff,United Kingdom,Welsh-medium school
Windsor Clive Primary School,City and County of Cardiff,United Kingdom,Welsh-medium school
Options Kinsale,Flintshire,United Kingdom,Welsh-medium school
Castle Park Primary School,Monmouthshire,United Kingdom,Welsh-medium school
