col0,col1,col2,col3
Skokloster,2142,Skoklosters,Håbo Municipality
Tierp,3393,Tierp parish,Tierp Municipality
Svinnegarn,700,Svinnegarns församling,Enköping Municipality
Fittja,150,Fittja församling,Enköping Municipality
Biskopskulla,307,Biskopskulla parish,Enköping Municipality
Trönö,818,Trönö parish,Söderhamn Municipality
Söderhamn,10805,Söderhamns församling,Söderhamn Municipality
Söderala,2529,Söderala church parish,Söderhamn Municipality
Ekeby,498,Ekeby parish,Östhammar Municipality
Dannemora,553,Dannemora  parish,Östhammar Municipality
Börstil,4145,Börstils parish,Östhammar Municipality
Alunda,4079,Alunda parish,Östhammar Municipality
Danmark,11205,Danmarks  parish,Uppsala Municipality
Dalby,690,"Dalby parish, Uppsala diocese",Uppsala Municipality
Börje,1117,Börje parish,Uppsala Municipality
