col0,col1,col2,col3,col4,col5
2019 CS Ice Star - senior ladies' singles short program,2019-10-18,Minsk-Arena,figure skating rules starting from the 2018-2019 season,Sofia Samodurova,International Skating Union
2019 Skate Canada International - pair skating short program,2019-10-25,Prospera Place,figure skating rules starting from the 2018-2019 season,Aleksandra Boikova,International Skating Union
2019 CS Ice Star - senior men's singles short program,2019-10-19,Minsk-Arena,figure skating rules starting from the 2018-2019 season,Daniel Grassl,International Skating Union
2019 CS Asian Open Figure Skating Trophy - men's singles short program,2019-11-02,Dongguan,figure skating rules starting from the 2018-2019 season,Daniel Grassl,International Skating Union
2019 CS Asian Open Figure Skating Trophy - ladies' singles short program,2019-11-02,Dongguan,figure skating rules starting from the 2018-2019 season,Lim Eun-soo,International Skating Union
2019 Skate Canada International - ladies' singles short program,2019-10-25,Prospera Place,figure skating rules starting from the 2018-2019 season,Rika Kihira,International Skating Union
2019 CS Finlandia Trophy - pair skating short program,2019-10-11,Espoo Metro Areena,figure skating rules starting from the 2018-2019 season,Anastasia Mishina,International Skating Union
2019 Skate America - ladies' singles short program,2019-10-18,Orleans Arena,figure skating rules starting from the 2018-2019 season,Bradie Tennell,International Skating Union
2019 CS Warsaw Cup - ladies' singles short program,2019-11-15,Torwar Hall,figure skating rules starting from the 2018-2019 season,Bradie Tennell,International Skating Union
2019 CS Finlandia Trophy - men's singles short program,2019-10-11,Espoo Metro Areena,figure skating rules starting from the 2018-2019 season,Sota Yamamoto,International Skating Union
