col0,col1,col2,col3
Disney English,Inspire Your Child To Speak With The World,Disney Publishing Worldwide,educational system
Strabag,TEAMS WORK.,Raiffeisen-Holding Niederösterreich-Wien,construction
HTC Corporation,Quietly Brilliant,VIA Technologies,electronics industry
McDonald's,I'm loving it,BlackRock,quick service restaurant sector
Airbus SE,we make it fly,UBS,Arms industry
Škoda Auto,Simply Clever.,Volkswagen Finance Luxemburg,automotive industry
Airbus SE,we make it fly,UBS,spaceflight
Transdev,Mobility inspired by you,Caisse des dépôts et consignations,public transport
Mydealsclub,Save Money Join The Club,Darren Tatch,E-commerce
GameStop,Power to the Players,Barnes & Noble,retail
eBay,"Buy it New, Buy it Now",BlackRock,E-commerce
