col0,col1,col2
Tokyo Metropolitan Shakujii High School,22,863
Tokyo Metropolitan Hakuo Senior High School-Junior High School,12,474
Tokyo Metropolitan Den Enchofu High School,18,699
Fukagawa Kōtō Gakkō,24,960
Kohoku High School,24,932
Tokyo Metropolitan Musashi Senior High School,9,358
Musashigaoka Senior High School,24,954
Tokyo Metropolitan Sakuramachi High School,24,936
Tokyo Metropolitan University Matsubara,15,583
Tokyo Metropolitan East High School,20,788
Tokyo Metropolitan Harumi-Sogo High School,21,810
Tokyo Metropolitan Hino High School,24,943
