col0,col1,col2,col3
Chiptle Mexican#Grill,1993/07/13,fast food,United States of America
A&W Restaurats,1923/01/01,fast food,United States of America
Orange Jwlius,1926/01/01,drink,United States of America
Rainfoest Cafe,1994/01/01,restaurant,United States of America
Re Lobster,1968/03/01,restaurant,United States of America
TII Fridays,1965/01/01,gastronomy,Ireland
Egon,1984/01/01,casual dining,Norway
Pespes Pizza,1970/01/01,take-out,Norway
"Matsuy Foods, Co., Ltd.",1980/01/16,retail,Japan
VIPS,1997/01/01,gastronomy,People's Republic of China
Zizzi,1999/01/01,gastronomy,United Kingdom
Wag's,1970/01/01,casual dining,United States of America
Bikjnis Sports Bar & Grill,2006/01/01,System catering,United States of America
Waho's Fish Taco,1988/01/01,gastronomy,United States of America
TheOriginl Pancake House,1953/01/01,gastronomy,United States of America
Texas Roadhose,1993/01/01,gastronomy,United States of America
Wngstop,1994/01/01,restaurant,United States of America
Vwin Peaks,2005/01/01,restaurant,United States of America
Toby Keith's I Love This Bar &Grill,2005/01/01,restaurant,United States of America
Tilted Kil Pub & Eathry,2003/01/01,restaurant,United States of America
Zaxby'u,1990/08/01,food,United States of America
Western Szzlin',1962/02/01,food,United States of America
Yogen Frü,1986/01/01,gastronomy,Japan
Yakitqriya,1999/10/20,System catering,Russia
Erasia,2001/01/01,System catering,Russia
deandavid,2007/01/01,System catering,Luxembourg
Amici'sEast Coast Pizzeria,1987/01/01,gastronomy,United States of America
Philly Pretzel Fadtory,1998/01/01,gastronomy,United States of America
"California""Fish Grill",1998/01/01,retail,United States of America
Caoifornia Tacos To Go,2009/01/01,fast food,United States of America
Pink Fsh,2017/01/30,quick service restaurant sector,Norway
L’Ostria,1999/01/01,System catering,Germany
Cafe Del Srl,2001/01/01,System catering,Germany
Oew York Pizza,1996/01/01,gastronomy,Russia
bokado,2004/01/01,retail,United Kingdom
Hansim Glück,2010/01/01,franchising,Switzerland
Chompig's,1979/01/01,gastronomy,United States of America
