col0,col1,col2,col3,col4
Moores Creek National Battlefield,National Park Service,Pender County,United States of America,National Battlefield
Vicksburg National Military Park,National Park Service,Vicksburg,United States of America,National Battlefield
Wilson's Creek National Battlefield,National Park Service,Missouri,United States of America,National Battlefield
Tupelo National Battlefield,National Park Service,Tupelo,United States of America,National Battlefield
Stones River National Battlefield,National Park Service,Rutherford County,United States of America,National Battlefield
Shiloh National Military Park,National Park Service,Hardin County,United States of America,National Battlefield
River Raisin National Battlefield Park,National Park Service,Monroe,United States of America,National Battlefield
Richmond National Battlefield Park,National Park Service,Virginia,United States of America,National Battlefield
Petersburg National Battlefield,National Park Service,Virginia,United States of America,National Battlefield
Pea Ridge National Military Park,National Park Service,Benton County,United States of America,National Battlefield
Monocacy National Battlefield,National Park Service,Frederick County,United States of America,National Battlefield
Manassas National Battlefield Park,National Park Service,Virginia,United States of America,National Battlefield
Kennesaw Mountain National Battlefield Park,National Park Service,Cobb County,United States of America,National Battlefield
