col0,col1,col2,col3,col4
Ayuntamiento de Zamora,Zamora,Mayor of Zamora,new town hall of Zamora,Spain
Ayuntamiento de Móstoles,Móstoles,Mayor of Móstoles,Town hall of Móstoles,Spain
Ayuntamiento de Soria,Soria,mayor of Soria,Town hall of Soria,Spain
Ayuntamiento de Leganés,Leganés,Mayor of Leganés,Town hall of Leganés,Spain
City Council of Alcalá de Henares,Alcalá de Henares,Mayor of Alcalá de Henares,Town hall of Alcalá de Henares,Spain
Ayuntamiento de Ciudad Real,Ciudad Real,mayor of Ciudad Real,Town Hall of Ciudad Real,Spain
Ayuntamiento de Segovia,Segovia,Mayor of Segovia,Casa consistorial de Segovia,Spain
Ayuntamiento de Logroño,Logroño,mayor of Logroño,Casa consistorial de Logroño,Spain
Guadalajara City Council,Guadalajara,mayor of Guadalajara,Casa consistorial de Guadalajara,Spain
Ayuntamiento de Tarragona,Tarragona,mayor of Tarragona,City Hall of Tarragona,Spain
l'Hospitalet de Llobregat City Council,L'Hospitalet de Llobregat,mayor of Hospitalet de Llobregat,Casa de la Ciutat,Spain
Ajuntament de Badalona,Badalona,mayor of Badalona,Casa Consistorial de Badalona,Spain
Valladolid City Council,Valladolid,mayor of Valladolid,Casa Consistorial de Valladolid,Spain
Ubeda City Hall,Úbeda,mayor of Úbeda,Vázquez de Molina Palace,Spain
Paeria de Lleida,Lleida,mayor of Lleida,La Paeria,Spain
Ayuntamiento de Cartagena,Cartagena,mayor of Cartagena,Palacio consistorial de Cartagena,Spain
Ayuntamiento de Málaga,Malaga,mayor of Málaga,Casa consistorial de Málaga,Spain
Ayuntamiento de Miranda de Ebro,Miranda de Ebro,mayor of Miranda de Ebro,Casa consistorial de Miranda de Ebro,Spain
