col0,col1,col2
Fighter Wing 4,1944-01-01,Luftwaffe
Training Air Wing,1918-01-01,Finnish Air Force
Lapland Air Command,1973-01-01,Finnish Air Force
Karelia Air Command,1918-01-01,Finnish Air Force
Satakunta Air Command,1918-01-01,Finnish Air Force
Flying Regiment 19,1939-12-14,Finnish Air Force
No. 86 Wing,1945-03-01,Royal Australian Air Force
No. 1 Wing RAAF,1917-09-01,Australian Flying Corps
41º Stormo,1939-01-01,Italian Air Force
36º Stormo,1938-01-01,Italian Air Force
4º Stormo,1931-01-01,Italian Air Force
15º Stormo,1931-01-01,Italian Air Force
Flik 74J,1916-01-01,Imperial and Royal Aviation Troops
Flik 61J,1916-01-01,Imperial and Royal Aviation Troops
Flik 60J,1916-01-01,Imperial and Royal Aviation Troops
Flik 55J,1916-01-01,Imperial and Royal Aviation Troops
Flik 51J,1916-01-01,Imperial and Royal Aviation Troops
Flik 42J,1916-01-01,Imperial and Royal Aviation Troops
Flik 41J,1916-01-01,Imperial and Royal Aviation Troops
22 U.N. Fighter Squadron,1961-09-23,Swedish Air Force
