col0,col1,col2,col3
Mulhouse Alsace Agglomération,277180,39,France
Communauté intercommunale des Villes solidaires,182868,6,France
Agglomeration community of Hénin-Carvin,126414,14,France
Agglomeration community of Pays de Saint-Malo,84975,18,France
Communauté d'agglomération du Pays de Meaux,98796,22,France
Grand Avignon,197746,16,France
communauté d'agglomération du Douaisis,151307,35,France
Communauté d'agglomération du Bassin de Thau,126206,14,France
Communauté d'agglomération du Bassin d'Aurillac,56066,25,France
Saint-Quentin-en-Yvelines,227427,12,France
Agglomeration Community of Metropolitan Valenciennes,194673,35,France
Communauté d'agglomération de Sophia Antipolis,179146,24,France
Communauté d'agglomération de Marne et Gondoire,105085,20,France
Communauté d'agglomération de Forbach Porte de France,79237,21,France
Agglomeration community of Lens – Liévin,244709,36,France
communauté d'agglomération du Bassin de Brive,110698,48,France
Communauté d'agglomération Ventoux-Comtat-Venaissin,71153,25,France
communauté d'agglomération d'Épinal,115386,78,France
Communauté d’agglomération Nîmes Métropole,262891,39,France
Communauté d'agglomération Hérault Méditerranée,79041,20,France
