col0,col1,col2,col3
Remo,United States of America,Remo Belli,1957-01-01
Jackson Guitars,United States of America,Grover Jackson,1980-01-01
Vox Amplification,United Kingdom,Thomas Walter Jennings,1947-01-01
Taylor Guitars,United States of America,Bob Taylor,1974-01-01
"ARP Instruments, Inc.",United States of America,Alan R. Pearlman,1969-01-01
Gretsch,United States of America,Friedrich Gretsch,1883-01-01
B.C. Rich,United States of America,Bernardo Chavez Rico,1969-01-01
Casio,Japan,Kazuo Kashio,1957-01-01
Ibanez,Japan,Hoshino Gakki,1929-01-01
Moeck Musikinstrumente + Verlag,Germany,Hermann Moeck,1925-01-01
Hohner Musikinstrumente GmbH & Co. KG,Germany,Matthias Hohner,1857-01-01
Henri Selmer Paris,France,Conn-Selmer,1885-01-01
Gibson,United States of America,Orville Gibson,1902-01-01
Yamaha Corporation,Japan,Torakusu Yamaha,1887-10-12
Rickenbacker,United States of America,Adolph Rickenbacker,1931-01-01
Roland Corporation,Japan,Ikutaro Kakehashi,1972-04-18
G&L Musical Instruments,United States of America,Leo Fender,1979-01-01
Fender Musical Instruments Corporation,United States of America,Leo Fender,1946-01-01
Steinway & Sons,United States of America,Henry E. Steinway,1853-03-05
Blüthner,Germany,Julius Blüthner,1853-01-01
