col0,col1,col2,col3
Bälinge,5620,Bälinge parish,Uppsala Municipality
Björklinge,4481,Björklinge parish,Uppsala Municipality
Balingsta,456,Balingsta parish,Uppsala Municipality
Tensta,1868,Tensta parish,Uppsala Municipality
Enköping,26140,Enköping,Enköping Municipality
Lagga,1112,Lagga,Knivsta Municipality
Edsberg,733,Edsbergs parish,Lekeberg Municipality
Knista,2924,Knista parish,Lekeberg Municipality
Lindesberg,12681,Lindesberg congregation,Lindesberg Municipality
Lerbäck,3021,Lerbäcks parish,Askersund Municipality
Askersund,5040,Askersund parish,Askersund Municipality
Östra Vingåker,1925,Östra Vingåkers församling,Katrineholm Municipality
Bjurbäck,275,Bjurbäcks parish,Mullsjö Municipality
Västerljung,1044,Västerljungs församling,Trosa Municipality
Ekeby,1122,Ekeby parish,Kumla Municipality
