col0,col1,col2,col3
Montague Township,Sussex County,1759-03-26,45.38
Vernon Township,Sussex County,1793-04-08,70.587
Green Township,Sussex County,1824-01-01,16.256
Frankford Township,Sussex County,1797-01-01,35.438
Hardyston Township,Sussex County,1762-01-01,32.638
Wayne,Passaic County,1847-04-12,25.174
Little Falls,Passaic County,1868-04-02,2.81
North Bergen,Hudson County,1843-04-10,5.575
Pemberton Township,Burlington County,1846-03-10,161.875
Bordentown Township,Burlington County,1852-03-08,9.334
Burlington Township,Burlington County,1798-01-01,13.98
