col0,col1,col2
Ford Air Transport Service,1925-01-01,Ford Airport
DHL Air UK,1982-01-01,Hounslow
ABX Air,2003-08-15,Wilmington Air Park
MASkargo,1972-01-01,Sepang District
SkyTeam Luftfahrtunternehmen,1997-01-01,Kelsterbach
Air Omega,2001-01-01,Nobitz
Aircompany ATMA,1996-01-01,Atyrau
DHL International Aviation ME,1979-01-01,Muharraq
ABSA Cargo Airline,1995-01-01,Campinas
Air Cargo Germany,2008-06-01,Frankfurt-Hahn Airport
Orange Cargo,2002-01-01,Aichi Prefecture
LATAM Cargo Chile,1929-01-01,Las Condes
Silk Way West Airlines,2012-01-01,Baku
Elbeflug,1969-01-01,Pinneberg
Airborne Express,1946-01-01,Seattle
ASL Airlines Belgium,1999-01-01,Liège
Lufthansa Cargo,1994-01-01,Frankfurt am Main
MasAir Cargo Mexico,1992-01-01,Mexico City
Sky Gates Airlines,2016-01-01,Moscow
