col0,col1,col2
So Fresh: The Hits of Summer 2012 + The Best of 2011,The Hits of Summer 2012 + The Best of 2011,Sony Music
So Fresh: The Hits of Spring 2010,The Hits of Spring 2010,Sony Music
So Fresh: The Hits of Autumn 2010 + Bonus DVD,The Hits of Autumn 2010 + Bonus DVD,Sony Music
So Fresh: The Hits of Winter 2002,The Hits of Winter 2002,Columbia Records
So Fresh: The Hits of Summer 2004 Plus The Biggest Hits Of 2003,The Hits of Summer 2004,Columbia Records
So Fresh: The Hits of Summer 2001 Plus the Biggest Hits of 2000,The Hits of Summer 2001,Columbia Records
So Fresh: The Hits of Spring 2004,The Hits of Spring 2004,Columbia Records
So Fresh: The Hits of Spring 2001,The Hits of Spring 2001,Columbia Records
So Fresh: The Hits of Autumn 2003,The Hits of Autumn 2003,Columbia Records
King for a Day... Fool for a Lifetime,King for a Day... Fool for a Lifetime,Slash Records
Blue Moves,Blue Moves,MCA Records
A Single Man,A Single Man,MCA Records
One Hot Minute,One Hot Minute,Warner Bros. Records
Insomniac,Insomniac,Reprise Records
Dookie,Dookie,Reprise Records
Caribou,Caribou,DJM Records
Captain Fantastic and the Brown Dirt Cowboy,Captain Fantastic and the Brown Dirt Cowboy,DJM Records
Greatest Hits,Greatest Hits,DJM Records
Don't Shoot Me I'm Only the Piano Player,Don't Shoot Me I'm Only the Piano Player,DJM Records
Divine Intervention,Divine Intervention,American Recordings
