col0,col1,col2
The School of Ecclesiastic Music,Lebanon,1997-01-01
Jerusalem Academy of Music and Dance,Israel,1933-01-01
The Music and Ballet School of Baghdad,Iraq,1967-01-01
KM Music Conservatory,India,2008-01-01
Calcutta School of Music,India,1915-01-01
Bengal Music College,India,1940-01-01
Melba Memorial Conservatorium of Music,Australia,1901-01-01
ANU School of Music,Australia,1965-01-01
Pontifical Institute of Sacred Music,Vatican City,1910-01-01
Sisak Synagogue,Croatia,1880-01-01
Pipe Organ School in Prague,Czech Republic,1830-01-01
Academy of Performing Arts,Czech Republic,1945-10-27
Ülenurme Music School,Estonia,1989-01-01
Heino Eller Music College,Estonia,1919-01-01
Rheinische Musikschule der Stadt Köln,Germany,1845-01-01
Freiburg University of Arts and Applied Sciences,Germany,2010-01-01
Hamburger Konservatorium,Germany,1908-01-01
Hochschule für Musik und Theater Hamburg,Germany,1950-01-01
"Hanover University of Music, Drama and Media",Germany,1897-01-01
Berlin University of the Arts,Germany,1696-01-01
Hochschule für Musik und Tanz Köln,Germany,1850-01-01
Beijing Midi School of Music,People's Republic of China,1993-01-01
Pear Garden,People's Republic of China,0800-01-01
Guildhall School of Music and Drama,United Kingdom,1880-01-01
Centre de Musique Baroque de Versailles,France,1987-01-01
Athens Conservatoire,Greece,1871-01-01
