col0,col1,col2
Roman Catholic Archdiocese of Riga,1918-01-01,Ecclesiastical province of Riga
Archbishopric of Riga,1186-01-01,Livonian confederation
Roman Catholic Archdiocese of Washington,1947-11-15,Hyattsville
Roman Catholic Archdiocese of Puebla,1903-01-01,Puebla
Greek Catholic Archdiocese of Făgăraş and Alba Iulia,1721-01-01,Alba
Roman Catholic Archdiocese of Sant'Angelo dei Lombardi-Conza-Nusco-Bisaccia,1986-09-30,Province of Avellino
Roman Catholic Archdiocese of Santa Fe,1850-01-01,New Mexico
Roman Catholic Archdiocese of Quebec,1658-04-11,Quebec
Roman Catholic Archdiocese of Rimouski,1867-01-01,Bas-Saint-Laurent
Roman Catholic Archdiocese of Bamberg,1007-01-01,Ecclesiastical province of Bamberg
Roman Catholic Archdiocese of Indianapolis,1834-01-01,Indiana
Roman Catholic Archdiocese of Paderborn,0799-01-01,North Rhine-Westphalia
Roman Catholic Archdiocese of Cologne,0400-01-01,North Rhine-Westphalia
