col0,col1,col2,col3
Adria,1936-01-01,Austria-Hungary,1879-01-01
Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft,1970-09-01,Germany,1847-05-27
Norddeutscher Lloyd,1970-09-01,Germany,1857-02-20
Cunard-White Star Line,1949-01-01,United Kingdom,1934-01-01
Booth Line,1975-01-01,United Kingdom,1863-01-01
Anchor Line,1985-01-01,United Kingdom,1855-01-01
Netherland Line,1970-01-01,Netherlands,1870-01-01
Royal Dutch Steamboat Company,1981-01-01,Netherlands,1856-01-01
Danske Færger,2018-12-17,Denmark,2010-01-01
Pacific Coast Steamship Company,1916-01-01,United States of America,1867-01-01
