col0,col1,col2,col3
1974 FA Cup Final,association football,1974-05-04,Newcastle United F.C.
1913 FA Cup Final,association football,1913-04-19,Aston Villa F.C.
2008 FA Cup Final,association football,2008-05-17,Cardiff City F.C.
1977 FA Cup Final,association football,1977-05-21,Manchester United F.C.
1976 FA Cup Final,association football,1976-05-01,Manchester United F.C.
1963 FA Cup Final,association football,1963-05-25,Manchester United F.C.
1958 FA Cup Final,association football,1958-05-03,Manchester United F.C.
1948 FA Cup Final,association football,1948-04-24,Manchester United F.C.
1909 FA Cup Final,association football,1909-04-24,Manchester United F.C.
2004 FA Cup Final,association football,2004-05-22,Manchester United F.C.
1957 FA Cup Final,association football,1957-05-04,Manchester United F.C.
1972 FA Cup Final,association football,1972-05-06,Arsenal F.C.
1971 FA Cup Final,association football,1971-05-08,Arsenal F.C.
