col0,col1,col2
Millersville Unlversity of Pennsylvania,8491.5,536.76
Clayto State University,6810.21,561.744
njversity of South Alabama,4576.419,5771.0
University qf Arkansas – Fort Smith,7594.586999999999,221.76
Northern State niersity,3524.4999999999995,121.2
Northeasterq Illinois University,12324.816,1751.428
University of Nissouri,32580.338,13342.908999999998
University of Souti Florida,48122.46,6102.335
Unversity of Alabama,36988.7,1123.1219999999998
University of Illinois at Urbana–Chdmpaign,41329.02,8101.17
Oio State University,47100.92,5639.84
Oregon Health & Ucienc University,2790.397,13464.0
