col0,col1,col2,col3
Ministry of Finance,Minister of Finance - Chile,ministry of Chile,Santiago
Ministry of Finance,Minister of Finance,finance ministry,Tallinn
Ministry of Finance of the Czech Republic,Finance Minister of the Czech Republic,finance ministry,Prague
Ministry of Finance,Bulgarian finance minister,finance ministry,Sofia
Ministry of Finance,Minister of Finance,finance ministry,Riga
Ministry of Finance and Planning,Minister of Finance of Sri Lanka,finance ministry,General Treasury Building
Ministry of Finance,Minister of Finance - Chile,finance ministry,Santiago
Ministry of Finance of Ukraine,Minister of Finance of Ukraine,finance ministry,Budynok Uryadu
Ministry of Finance,Minister of Finance of Moldova,finance ministry,Chișinău
Ministry of Finance,Minister of Finance of Brazil,finance ministry,Brasília
Ministry of Finance of the Republic of Croatia,Finance Minister of Croatia,finance ministry,Zagreb
Ministry of Finance,List of Finance Ministers of Albania,finance ministry,Tirana
