col0,col1,col2,col3,col4
Gymnázium Christiana Dopplera,Czech Republic,Prague,Prague,Zborovská
Gymnázium Postupická,Czech Republic,Prague,Prague,Postupická
Gymnázium Elišky Krásnohorské,Czech Republic,Prague,Prague,Ohradní
Gymnázium Nad Kavalírkou,Czech Republic,Prague,Prague,Nad Kavalírkou
Gymnázium Christiana Dopplera,Czech Republic,Prague,Prague,Mělnická
Jan Neruda Grammar School,Czech Republic,Prague,Prague,Hellichova
Budějovická High School,Czech Republic,Prague,Prague,Budějovická
Gymnázium Arabská,Czech Republic,Prague,Prague,Arabská
Akademické gymnázium Štěpánská,Czech Republic,Prague,Prague,Štěpánská
Gymnázium prof. Jana Patočky,Czech Republic,Prague,Prague,Jindřišská
SOŠP and Grammar School Prague 6,Czech Republic,Prague,Prague,Evropská
Gymnázium Žamberk,Czech Republic,Žamberk,Pardubice Region,Nádražní
Mendelovo gymnázium,Czech Republic,Opava,Moravian-Silesian Region,28. října
Podkrušnohorské gymnázium Most,Czech Republic,Most,Ústí nad Labem Region,Čsl. armády
