col0,col1,col2,col3
Aomori Prefectural Hachinohe Commercial High School,11,Hachinohe,1927-05-27
Shizuoka Prefectural Hamamatsu Johoku Technical High School,71,Hamamatsu,1897-07-01
Shizuoka Dacheng Secondary School and Higher Education,9,Shizuoka,1903-01-01
Aomori Higashi High School,21,Aomori,1961-04-01
Nirayama High School,51,Izunokuni,1873-01-01
Shizuoka High School,68,Shizuoka,1878-09-02
Shizuoka Prefectural Science and Technology High School,117,Shizuoka,2008-01-01
Musashigaoka Senior High School,24,Nakano-ku,1941-01-01
Tokyo Metropolitan Sakuramachi High School,24,Setagaya-ku,1938-01-01
Tokyo Metropolitan Musashi Senior High School,9,Musashino,1940-01-01
Iwate Prefectural Hanaizumi High School,3,Ichinoseki,1948-04-15
Iwate Kenritsu Hanamaki Nōgyō Kōtō Gakkō,9,Hanamaki,1906-11-01
Inagakuen Public High School,155,Ina,1984-01-01
Saitama Prefectural Kodama High School,32,Honjō,1922-01-01
