col0,col1,col2,col3,col4,col5
HMHS Lanfranc,8.3,Caledon Shipbuilding & Engineering Company,Liverpool,United Kingdom of Great Britain and Ireland,127.6
HMHS Salta,9.6,Société Nouvelle des Forges et Chantiers de la Méditerranée,Marseille,United Kingdom of Great Britain and Ireland,137.8
HMHS Anglia,4.8,William Denny and Brothers,London,United Kingdom of Great Britain and Ireland,100.3
HMAT Wandilla,10.39,William Beardmore and Company,Adelaide,Kingdom of Italy,125.36
AHS Centaur,6.55,Scotts Shipbuilding and Engineering Company,Liverpool,Australia,96.22
MS Wanganella,7.6,Harland and Wolff,Melbourne,Australia,144.5
MV Africa Mercy,6.0,Helsingør,Valletta,Malta,152.0
HMHS Newfoundland,9.69,Vickers,Liverpool,United Kingdom,123.78
SS Albania,13.4,Scotts Shipbuilding and Engineering Company,Liverpool,United Kingdom,164.28
SS Letitia,8.99,Fairfield Shipbuilding and Engineering Company,Glasgow,United Kingdom,163.98
HMHS Gloucester Castle,9.36,Fairfield Shipbuilding and Engineering Company,London,United Kingdom,137.98
