col0,col1,col2,col3,col4
Lutjeloosche Mede,48.0,1930-01-01,1911-01-01,Groningen
Braampolder,20.0,1905-01-01,1868-01-01,Groningen
Over de Dijk,1522.0,1963-01-01,1931-01-01,Groningen
Kabeling 5,38.0,1967-01-01,1936-01-01,Groningen
Kanaalweg,1300.0,1964-01-01,1922-01-01,Groningen
Borger- en Tripscompagnie,2510.0,1988-01-01,1882-01-01,Groningen
Rotteveen,12.5,t816212079,1882-07-12,Groningen
De Dam,844.0,1897-01-01,1877-01-01,Pekela
Nijlandsterpolder,138.0,1978-01-01,1935-01-01,Zuidhorn
Groot-Mijdrecht,1959.0,1976-01-01,1872-01-01,De Ronde Venen
