col0,col1,col2
Armstrong Whitworth,Palmers Shipbuilding and Iron Company,private limited liability company
de Havilland,Airco,private company limited by shares
BAE Systems,British Aerospace,public limited company
Lockheed Corporation,Alco Hydro-Aeroplane Company,privately held company
Mitsubishi Heavy Industries,Mitsubishi Aircraft Company,kabushiki gaisha
British Aircraft Corporation,Bristol Aeroplane Company,public company
Northrop Grumman,Grumman,public company
Vereinigte Flugtechnische Werke,Heinkel,GmbH
Airbus,DaimlerChrysler Aerospace,Societas Europaea
Aerfer,Meridionali,joint-stock company
McDonnell Douglas,Douglas,joint-stock company
Boeing Helicopters,Piasecki Helicopter Corporation,joint-stock company
Boeing,McDonnell Douglas,joint-stock company
Bristol Siddeley,de Havilland Engine Company,limited company
Hawker Siddeley,Blackburn Aircraft,public limited company
Curtiss-Wright,Curtiss,public company
Bell Flight,Bell Aircraft Corporation,subsidiary
Messerschmitt-Bölkow-Blohm,Messerschmitt,GmbH
MD Helicopters,Hughes Helicopters,joint-stock company
Caproni,National Aeronautical Company,joint-stock company
