col0,col1,col2,col3
Bank of America,Charlotte,FleetBoston Financial,1923-01-01
JPMorgan Chase,270 Park Avenue,Bank One Corporation,2000-01-01
Algemene Bank Nederland,Amsterdam,Twentsche Bank,1964-01-01
JPMorgan Chase,270 Park Avenue,J.P. Morgan & Co.,2000-01-01
ABN AMRO,Amsterdam,AMRO Bank,1991-01-01
PostBank,New Zealand,New Zealand Post Office,1987-02-24
Algemene Bank Nederland,Amsterdam,Netherlands Trading Society,1964-01-01
Arion Bank,Reykjavík,Kaupthing Bank,2009-01-01
The Bank of New York Mellon,New York City,Bank of New York,2007-01-01
ING Group,Amsterdam,Barings Bank,1991-01-01
JPMorgan Chase,270 Park Avenue,Chase Bank,2000-01-01
ABN AMRO,Amsterdam,Algemene Bank Nederland,1991-01-01
