col0,col1,col2,col3,col4,col5
"Graduate Center, CUNY",Manhattan,open-access publisher,United States of America,1961-01-01,City University of New York
Lyndon B. Johnson School of Public Affairs,Texas,presidential school,United States of America,1970-01-01,University of Texas at Austin
"Graduate Center, CUNY",Manhattan,public educational institution of the United States,United States of America,1961-01-01,City University of New York
"Faculty of Mathematics of the ""Alexandru Ioan Cuza"" University of Iași",Iași,graduate school,Romania,1989-01-01,Alexandru Ioan Cuza University
"Faculty of Letters of ""Alexandru Ioan Cuza"" University of Iași",Iași,graduate school,Romania,1860-01-01,Alexandru Ioan Cuza University
"Faculty of Physics of ""Alexandru Ioan Cuza"" University of Iași",Iași,graduate school,Romania,1962-01-01,Alexandru Ioan Cuza University
"The Faculty of Physical Education and Sport of ""Alexandru Ioan Cuza"" University of Iași",Iași,graduate school,Romania,1960-01-01,Alexandru Ioan Cuza University
"Faculty of Law of ""Alexandru Ioan Cuza"" University of Iași",Iași,graduate school,Romania,1855-10-06,Alexandru Ioan Cuza University
"The Faculty of History of ""Alexandru Ioan Cuza"" University of Iași",Iași,graduate school,Romania,1860-10-26,Alexandru Ioan Cuza University
Alexandru Ioan Cuza University Faculty of Chemistry,Iași,graduate school,Romania,1864-01-01,Alexandru Ioan Cuza University
Alexandru Ioan Cuza University Faculty of Biology,Iași,graduate school,Romania,1990-01-01,Alexandru Ioan Cuza University
Philadelphia School for Occupational Therapy,Philadelphia,graduate school,United States of America,1918-01-01,University of Pennsylvania
The Faculty of Medicine of Iași,Iași,graduate school,Romania,1879-09-30,Grigore T. Popa University of Medicine and Pharmacy
