col0,col1,col2,col3,col4
Idoling!!!,2015-01-01,Pony Canyon,2006-01-01,Rumi Hasegawa
Shiritsu Ebisu Chugaku,2009-01-01,Defstar Records,2009-01-01,Hirono Suzuki
Idoling!!!,2015-01-01,Pony Canyon,2006-01-01,Karen Ishida
Shiritsu Ebisu Chugaku,2009-01-01,Defstar Records,2009-01-01,Rika Mayama
Idoling!!!,2015-01-01,Pony Canyon,2006-01-01,Yui Kawamura
Shiritsu Ebisu Chugaku,2009-01-01,Defstar Records,2009-01-01,Rina Matsuno
Idoling!!!,2015-01-01,Pony Canyon,2006-01-01,Kaoru Gotō
Shiritsu Ebisu Chugaku,2009-01-01,Defstar Records,2009-01-01,Aika Hirota
Idoling!!!,2015-01-01,Pony Canyon,2006-01-01,Chika Ojima
Shiritsu Ebisu Chugaku,2009-01-01,Defstar Records,2009-01-01,Kanon Nanaki
Idoling!!!,2015-01-01,Pony Canyon,2006-01-01,Rurika Yokoyama
Juice=Juice,2013-01-01,Up-Front Works,2013-02-03,Karin Miyamoto
Idoling!!!,2015-01-01,Pony Canyon,2006-01-01,Erica Tonooka
Country Musume,1999-01-01,Zetima,1999-04-27,Hiromi Yanagihara
