col0,col1,col2
28th World Computer Shogi Championship,2018-05-05,Computer Shogi Association
27th World Computer Shogi Championship,2017-05-05,Computer Shogi Association
26th World Computer Shogi Championship,2016-05-05,Computer Shogi Association
25th World Computer Shogi Championship,2015-05-05,Computer Shogi Association
24th World Computer Shogi Championship,2014-05-05,Computer Shogi Association
23rd World Computer Shogi Championship,2013-05-05,Computer Shogi Association
22nd World Computer Shogi Championship,2012-05-05,Computer Shogi Association
21st World Computer Shogi Championship,2011-05-05,Computer Shogi Association
20th World Computer Shogi Championship,2010-05-04,Computer Shogi Association
19th World Computer Shogi Championship,2009-05-05,Computer Shogi Association
18th World Computer Shogi Championship,2008-05-05,Computer Shogi Association
17th World Computer Shogi Championship,2007-05-05,Computer Shogi Association
16th World Computer Shogi Championship,2006-05-05,Computer Shogi Association
15th World Computer Shogi Championship,2005-05-05,Computer Shogi Association
14th World Computer Shogi Championship,2004-05-04,Computer Shogi Association
13th World Computer Shogi Championship,2003-05-05,Computer Shogi Association
12th World Computer Shogi Championship,2001-05-05,Computer Shogi Association
11th World Computer Shogi Championship,2001-03-12,Computer Shogi Association
10th Computer Shogi Championship,2000-03-10,Computer Shogi Association
9th Computer Shogi Championship,1999-03-19,Computer Shogi Association
