col0,col1,col2
HMS Orion,HMNB Portsmouth,Royal Navy
HMS Majestic,HMNB Portsmouth,Royal Navy
HMS Canopus,HMNB Portsmouth,Royal Navy
HMS St. Vincent,HMNB Portsmouth,Royal Navy
HMS Iron Duke,HMNB Portsmouth,Royal Navy
HMS London,HMNB Portsmouth,Royal Navy
HMS Dreadnought,HMNB Portsmouth,Royal Navy
HMS Duke of York,John Brown & Company,Royal Navy
HMS Barham,John Brown & Company,Royal Navy
HMS Valiant,Fairfield Shipbuilding and Engineering Company,Royal Navy
HMS Howe,Fairfield Shipbuilding and Engineering Company,Royal Navy
HMS Cornwallis,Thames Ironworks and Shipbuilding Company,Royal Navy
HMS Thunderer,Thames Ironworks and Shipbuilding Company,Royal Navy
