col0,col1,col2,col3
CNC Machines,Association for Manufacturing Technology,Inc. 5000,business
Parfums Caron,Comité Colbert,Entreprise du patrimoine vivant,organization
Shure,SD Association,Technical Grammy Award,business
Deutsche Post Adress,Deutscher Dialogmarketing Verband,Big Brother Awards,business
JBL,Wi-Fi Alliance,Technical Grammy Award,business
RealNetworks,European Committee for Interoperable Systems,Big Brother Awards,business
Yamaha Corporation,Wi-Fi Alliance,Technical Grammy Award,musical instrument manufacturing company
BP,Diversity Charter,Ig Nobel Prize,oil company
Goldman Sachs,Linux Foundation,Public Eye Jury Award,enterprise
Yamaha Corporation,Wi-Fi Alliance,Technical Grammy Award,enterprise
