col0,col1,col2,col3
Kirchenbezirk Bad Urach,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Bad Cannstatt,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Aalen,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Zuffenhausen,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Ulm,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Göppingen,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Stuttgart,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Freudenstadt,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Ravensburg,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Neuenstadt am Kocher,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenkreis Stuttgart,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Waiblingen,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Blaufelden,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Ludwigsburg,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
Kirchenbezirk Welzheim,Germany,Evangelical-Lutheran Church in Württemberg,Körperschaft des öffentlichen Rechts
