col0,col1,col2,col3
Discord - Pak Poeng,Yogyakarta,crust punk,Indonesia
Pusink,Yogyakarta,crust punk,Indonesia
Brain Destroyer,Yogyakarta,crust punk,Indonesia
Xxl,Yogyakarta,pop punk,Indonesia
Error Without Emotion (Erwe),Yogyakarta,pop punk,Indonesia
Smoking For Good,Medan,pop punk,Indonesia
Oversight,Yogyakarta,ska punk,Indonesia
Timeline Q7568,Yogyakarta,ska punk,Indonesia
Trendy Reject,Palembang,hardcore punk,Indonesia
Akaliar,Palembang,hardcore punk,Indonesia
A Sistem Rijek !,Yogyakarta,hardcore punk,Indonesia
Dewan Jendral,Yogyakarta,hardcore punk,Indonesia
Dom 65,Yogyakarta,punk rock,Indonesia
Dream Society,Yogyakarta,punk rock,Indonesia
Rebellion Rose,Yogyakarta,punk rock,Indonesia
Selokan Mataram,Yogyakarta,punk rock,Indonesia
The Realino,Yogyakarta,punk rock,Indonesia
Road Dog,Yogyakarta,punk rock,Indonesia
Arre! Arre!,Malmö,punk rock,Sweden
The Remote Junkies,Santa Fe,punk rock,United States of America
