col0,col1,col2,col3,col4
Aromitalia Vaiano 2016,Aromitalia Vaiano 2017,2016-01-31,2015 Aromitalia Vaiano season,women's sports
2016 Twenty16-Ridebiker,Sho-Air Twenty20 2017,2016-12-31,Twenty16-Sho-Air 2015,women's sports
Hitec Products 2014,Hitec Products 2015,2014-12-31,Hitec Products-UCK 2013,women's sports
MCipollini-Giordana 2013,Alé Cipollini 2014,2013-12-31,MCipollini-Giambenini-Gauss 2012,women's sports
Hitec Products 2016,Hitec Products 2017,2016-12-31,Hitec Products 2015,women's sports
Cervélo-Bigla 2016,Cervélo-Bigla 2017,2016-12-31,Bigla 2015,women's sports
2007 Vrienden van het Platteland season,2008 Vrienden van het Platteland season,2007-12-31,2006 Vrienden van het Platteland season,women's sports
Boels Dolmans 2016,Boels Dolmans 2017,2016-12-31,Boels Dolmans 2015,women's sports
Alé Cipollini 2015,Alé Cipollini 2016,2015-12-31,Alé Cipollini 2014,women's sports
Rabo Liv Women 2015,Rabo Liv Women 2016,2015-12-31,Rabo Liv Women 2014,women's sports
