col0,col1,col2,col3,col4
Bonair Business Charter,Germany,1998-01-01,Oberding,2004-01-01
DIX Aviation,Germany,1991-01-01,Büren,2008-01-01
XL Airways Germany,Germany,2006-01-01,Mörfelden-Walldorf,2012-01-01
Grenzland Air Service,Germany,1969-01-01,Greven,2000-01-01
Excellent Air,Germany,2000-01-01,Greven,2007-01-01
Aero Business Charter,Germany,1997-01-01,Bensheim,2010-01-01
Bremenfly,Germany,2008-01-01,Berlin Schönefeld Airport,2010-01-01
Fairjets,Germany,1999-01-01,Paderborn,2011-01-01
Germanair,Germany,1968-09-01,Frankfurt am Main,1977-03-01
Calair,Germany,1970-11-17,Frankfurt am Main,1972-01-01
Air Viking,Iceland,1970-01-01,Reykjavík,1976-01-01
MTM Aviation,Germany,1980-01-01,Munich,2002-01-01
Comfort Air,Germany,1978-01-01,Munich,2009-01-01
Bavaria Germanair,Germany,1977-01-01,Munich,1979-01-01
Transavia Flug,Germany,1965-01-01,Düsseldorf,1959-01-01
Vibroair,Germany,1987-01-01,Düsseldorf,2013-01-01
EFS Flug-Service,Germany,1980-01-01,Düsseldorf,2009-01-01
Air Evex,Germany,1975-01-01,Düsseldorf,2007-01-01
Abacus Air,Germany,1974-01-01,Hanover,1998-01-01
Continentale Deutsche Luftreederei,Germany,1958-01-01,Hamburg,1962-01-01
