col0,col1,col2,col3
Tangaroa Terrace Tropical Bar & Grill,Disneyland Hotel,Anaheim,1150 Magic Way
Splitsville Luxury Lanes,Downtown Disney,Anaheim,1530 S. Disneyland Dr
Uva Bar & Cafe,Downtown Disney,Anaheim,1580 Disneyland Dr
Cin Cin,Eldorado Resort Casino,Reno,345 N Virginia St
Atomic Liquors,Downtown Las Vegas,Las Vegas,917 Fremont Street
Beer Park,Paris Las Vegas,Las Vegas,3655 S Las Vegas Blvd
Le Central Bar,Paris Las Vegas,Las Vegas,3655 S Las Vegas Blvd
The Bar at MacArthur Place,MacArthur Place Hotel & Spa,Sonoma,29 E MacArthur St
Picabar,Perth Cultural Centre,Western Australia,51 James St Northbridge WA 6003
Amstel Taveerne,Amsterdam-Centrum,Amsterdam,Halvemaansteeg
The Know,Portland,Portland,"2026 NE Alberta St, Portland, OR 97211, USA"
Double Header,Seattle,Seattle,407 Second avenue extension south
Beauty Bar Las Vegas,Downtown Las Vegas,Las Vegas,517 Fremont St
