col0,col1,col2
Faculty of Technical Physics of Poznań University of Technology,Poznań,Poznań University of Technology
Politechnika Śląska. Wydział Mechaniczny Technologiczny,Gliwice,Silesian University of Technology
Faculty of Social Sciences of the University of Silesia,Katowice,University of Silesia in Katowice
Wydział Mechaniczny,Gdańsk,Gdańsk University of Technology
Faculty of Mechanical Engineering and Robotics,Kraków,AGH University of Science and Technology
Uniwersytet Zielonogórski. Wydział Humanistyczny,Zielona Góra,University of Zielona Góra
"Faculty of Law, Administration and Economics of University of Wrocław",Wrocław,University of Wrocław
Faculty of Earth Sciences and Environmental Management of University of Wrocław,Wrocław,University of Wrocław
Faculty of Historical and Pedagogical Sciences of University of Wrocław,Wrocław,University of Wrocław
Faculty of Biological Sciences of University of Wrocław,Wrocław,University of Wrocław
Faculty of Mathematics and Computer Science of University of Wrocław,Wrocław,University of Wrocław
Faculty of Physics and Astronomy of University of Wrocław,Wrocław,University of Wrocław
Faculty of Letters of University of Wrocław,Wrocław,University of Wrocław
Wydział Filologii Polskiej of Jagiellonian University,Kraków,Jagiellonian University
"Uniwersytet Jagielloński. Wydział Fizyki, Astronomii i Informatyki Stosowanej",Kraków,Jagiellonian University
Universidade Federal da Bahia. Escola de Teatro,Salvador,Universidade Federal da Bahia
Politechnika Gdańska. Wydział Chemiczny,Gdańsk,Gdańsk University of Technology
School of International Affairs,University Park,Pennsylvania State University
Matteo Ricci College,Washington,Seattle University
"School of Materials, University of Manchester",Manchester,University of Manchester
